Año;Trimestre;Valor;Régimen;CPRO;Provincia;Comunidad_Autónoma;CODAUTO
1995;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1995;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1995;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1995;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1996;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1996;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1996;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1996;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1997;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1997;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1997;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1997;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1998;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1998;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1998;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1998;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1999;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1999;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1999;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
1999;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2000;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2000;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2000;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2000;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2001;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2001;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2001;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2001;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2002;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2002;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2002;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2002;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2003;1;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2003;2;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2003;3;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2003;4;;Libre;null;Ceuta y Melilla;Ceuta y Melilla;0
2012;1;;Protegida;47;Valladolid;Castilla y León;7
2012;2;;Protegida;24;León;Castilla y León;7
2012;3;;Protegida;47;Valladolid;Castilla y León;7
2012;3;;Protegida;24;León;Castilla y León;7
2012;4;;Protegida;24;León;Castilla y León;7
2012;1;;Protegida;9;Burgos;Castilla y León;7
2012;2;;Protegida;9;Burgos;Castilla y León;7
2012;3;;Protegida;9;Burgos;Castilla y León;7
2012;4;;Protegida;9;Burgos;Castilla y León;7
2012;1;;Protegida;37;Salamanca;Castilla y León;7
2012;2;;Protegida;37;Salamanca;Castilla y León;7
2012;3;;Protegida;37;Salamanca;Castilla y León;7
2012;4;;Protegida;37;Salamanca;Castilla y León;7
2012;1;;Protegida;49;Zamora;Castilla y León;7
2012;2;;Protegida;49;Zamora;Castilla y León;7
2012;3;;Protegida;49;Zamora;Castilla y León;7
2012;4;;Protegida;49;Zamora;Castilla y León;7
2012;1;;Protegida;34;Palencia;Castilla y León;7
2012;2;;Protegida;34;Palencia;Castilla y León;7
2012;3;;Protegida;34;Palencia;Castilla y León;7
2012;4;;Protegida;34;Palencia;Castilla y León;7
2012;1;;Protegida;5;Ávila;Castilla y León;7
2012;2;;Protegida;5;Ávila;Castilla y León;7
2012;3;;Protegida;5;Ávila;Castilla y León;7
2012;4;;Protegida;5;Ávila;Castilla y León;7
2012;1;;Protegida;40;Segovia;Castilla y León;7
2012;2;;Protegida;40;Segovia;Castilla y León;7
2012;3;;Protegida;40;Segovia;Castilla y León;7
2012;4;;Protegida;40;Segovia;Castilla y León;7
2012;1;;Protegida;42;Soria;Castilla y León;7
2012;2;;Protegida;42;Soria;Castilla y León;7
2012;3;;Protegida;42;Soria;Castilla y León;7
2012;4;;Protegida;42;Soria;Castilla y León;7
2012;3;;Protegida;23;Jaén;Andalucía;1
2012;4;;Protegida;23;Jaén;Andalucía;1
2012;4;;Protegida;14;Córdoba;Andalucía;1
2012;3;;Protegida;29;Málaga;Andalucía;1
2012;2;;Protegida;11;Cádiz;Andalucía;1
2012;4;;Protegida;18;Granada;Andalucía;1
2012;3;;Protegida;21;Huelva;Andalucía;1
2012;4;;Protegida;21;Huelva;Andalucía;1
2012;4;;Protegida;4;Almería;Andalucía;1
2012;4;;Protegida;null;Ceuta y Melilla;Ceuta y Melilla;0
2012;1;;Protegida;44;Teruel;Aragón;2
2012;2;;Protegida;44;Teruel;Aragón;2
2012;3;;Protegida;44;Teruel;Aragón;2
2012;4;;Protegida;44;Teruel;Aragón;2
2012;1;;Protegida;22;Huesca;Aragón;2
2012;2;;Protegida;22;Huesca;Aragón;2
2012;3;;Protegida;22;Huesca;Aragón;2
2012;4;;Protegida;22;Huesca;Aragón;2
2012;2;;Protegida;27;Lugo;Galicia;12
2012;3;;Protegida;27;Lugo;Galicia;12
2012;3;;Protegida;36;Pontevedra;Galicia;12
2012;3;;Protegida;15;Coruña, A;Galicia;12
2012;4;;Protegida;27;Lugo;Galicia;12
2012;4;;Protegida;36;Pontevedra;Galicia;12
2012;1;;Protegida;32;Ourense;Galicia;12
2012;2;;Protegida;32;Ourense;Galicia;12
2012;3;;Protegida;32;Ourense;Galicia;12
2012;4;;Protegida;32;Ourense;Galicia;12
2012;1;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2012;3;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2012;4;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2012;4;;Protegida;45;Toledo;Castilla-La Mancha;8
2012;3;;Protegida;12;Castellón/Castelló;Comunitat Valenciana;10
2012;4;;Protegida;12;Castellón/Castelló;Comunitat Valenciana;10
2012;3;;Protegida;10;Cáceres;Extremadura;11
2012;3;;Protegida;7;Balears, Illes;Balears, Illes;4
2012;4;;Protegida;7;Balears, Illes;Balears, Illes;4
2012;3;;Protegida;35;Palmas, Las;Canarias;5
2012;4;;Protegida;35;Palmas, Las;Canarias;5
2012;2;;Protegida;39;Cantabria;Cantabria;6
2012;3;;Protegida;39;Cantabria;Cantabria;6
2012;1;;Protegida;25;Lleida;Cataluña;9
2012;2;;Protegida;17;Girona;Cataluña;9
2012;2;;Protegida;25;Lleida;Cataluña;9
2012;3;;Protegida;17;Girona;Cataluña;9
2012;3;;Protegida;43;Tarragona;Cataluña;9
2012;3;;Protegida;25;Lleida;Cataluña;9
2012;4;;Protegida;43;Tarragona;Cataluña;9
2012;4;;Protegida;25;Lleida;Cataluña;9
2012;4;;Protegida;17;Girona;Cataluña;9
2013;1;;Protegida;24;León;Castilla y León;7
2013;2;;Protegida;24;León;Castilla y León;7
2013;2;;Protegida;47;Valladolid;Castilla y León;7
2013;3;;Protegida;24;León;Castilla y León;7
2013;4;;Protegida;24;León;Castilla y León;7
2013;1;;Protegida;9;Burgos;Castilla y León;7
2013;2;;Protegida;9;Burgos;Castilla y León;7
2013;3;;Protegida;9;Burgos;Castilla y León;7
2013;4;;Protegida;9;Burgos;Castilla y León;7
2013;1;;Protegida;37;Salamanca;Castilla y León;7
2013;2;;Protegida;37;Salamanca;Castilla y León;7
2013;3;;Protegida;37;Salamanca;Castilla y León;7
2013;4;;Protegida;37;Salamanca;Castilla y León;7
2013;1;;Protegida;49;Zamora;Castilla y León;7
2013;2;;Protegida;49;Zamora;Castilla y León;7
2013;3;;Protegida;49;Zamora;Castilla y León;7
2013;4;;Protegida;49;Zamora;Castilla y León;7
2013;1;;Protegida;34;Palencia;Castilla y León;7
2013;2;;Protegida;34;Palencia;Castilla y León;7
2013;3;;Protegida;34;Palencia;Castilla y León;7
2013;4;;Protegida;34;Palencia;Castilla y León;7
2013;1;;Protegida;5;Ávila;Castilla y León;7
2013;2;;Protegida;5;Ávila;Castilla y León;7
2013;3;;Protegida;5;Ávila;Castilla y León;7
2013;4;;Protegida;5;Ávila;Castilla y León;7
2013;1;;Protegida;40;Segovia;Castilla y León;7
2013;2;;Protegida;40;Segovia;Castilla y León;7
2013;4;;Protegida;40;Segovia;Castilla y León;7
2013;1;;Protegida;42;Soria;Castilla y León;7
2013;2;;Protegida;42;Soria;Castilla y León;7
2013;3;;Protegida;42;Soria;Castilla y León;7
2013;4;;Protegida;42;Soria;Castilla y León;7
2013;3;;Protegida;23;Jaén;Andalucía;1
2013;4;;Protegida;23;Jaén;Andalucía;1
2013;4;;Protegida;18;Granada;Andalucía;1
2013;1;;Protegida;null;Ceuta y Melilla;Ceuta y Melilla;0
2013;2;;Protegida;null;Ceuta y Melilla;Ceuta y Melilla;0
2013;3;;Protegida;null;Ceuta y Melilla;Ceuta y Melilla;0
2013;4;;Protegida;null;Ceuta y Melilla;Ceuta y Melilla;0
2013;1;;Protegida;44;Teruel;Aragón;2
2013;2;;Protegida;44;Teruel;Aragón;2
2013;3;;Protegida;44;Teruel;Aragón;2
2013;4;;Protegida;44;Teruel;Aragón;2
2013;1;;Protegida;22;Huesca;Aragón;2
2013;2;;Protegida;22;Huesca;Aragón;2
2013;3;;Protegida;22;Huesca;Aragón;2
2013;4;;Protegida;22;Huesca;Aragón;2
2013;1;;Protegida;27;Lugo;Galicia;12
2013;2;;Protegida;27;Lugo;Galicia;12
2013;3;;Protegida;36;Pontevedra;Galicia;12
2013;3;;Protegida;27;Lugo;Galicia;12
2013;1;;Protegida;32;Ourense;Galicia;12
2013;2;;Protegida;32;Ourense;Galicia;12
2013;3;;Protegida;32;Ourense;Galicia;12
2013;4;;Protegida;32;Ourense;Galicia;12
2013;2;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2013;3;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2013;4;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2013;3;;Protegida;16;Cuenca;Castilla-La Mancha;8
2013;3;;Protegida;13;Ciudad Real;Castilla-La Mancha;8
2013;4;;Protegida;16;Cuenca;Castilla-La Mancha;8
2013;3;;Protegida;7;Balears, Illes;Balears, Illes;4
2013;3;;Protegida;39;Cantabria;Cantabria;6
2013;4;;Protegida;39;Cantabria;Cantabria;6
2013;1;;Protegida;17;Girona;Cataluña;9
2013;3;;Protegida;25;Lleida;Cataluña;9
2013;3;;Protegida;17;Girona;Cataluña;9
2013;4;;Protegida;17;Girona;Cataluña;9
2014;1;;Protegida;24;León;Castilla y León;7
2014;1;;Protegida;9;Burgos;Castilla y León;7
2014;3;;Protegida;9;Burgos;Castilla y León;7
2014;4;;Protegida;9;Burgos;Castilla y León;7
2014;1;;Protegida;37;Salamanca;Castilla y León;7
2014;2;;Protegida;37;Salamanca;Castilla y León;7
2014;3;;Protegida;37;Salamanca;Castilla y León;7
2014;3;;Protegida;16;Cuenca;Castilla-La Mancha;8
2014;1;;Protegida;20;Gipuzkoa;País Vasco;16
2014;1;;Protegida;1;Araba/Álava;País Vasco;16
2014;3;;Protegida;1;Araba/Álava;País Vasco;16
2014;1;;Protegida;39;Cantabria;Cantabria;6
2026;2;;Protegida;24;León;Castilla y León;7
2011;4;;Protegida;9;Burgos;Castilla y León;7
2018;3;;Protegida;9;Burgos;Castilla y León;7
2018;4;;Protegida;9;Burgos;Castilla y León;7
2025;4;;Protegida;9;Burgos;Castilla y León;7
2026;2;;Protegida;9;Burgos;Castilla y León;7
2015;1;;Protegida;37;Salamanca;Castilla y León;7
2015;2;;Protegida;37;Salamanca;Castilla y León;7
2015;3;;Protegida;37;Salamanca;Castilla y León;7
2017;2;;Protegida;37;Salamanca;Castilla y León;7
2017;3;;Protegida;37;Salamanca;Castilla y León;7
2020;3;;Protegida;37;Salamanca;Castilla y León;7
2022;1;;Protegida;29;Málaga;Andalucía;1
2015;2;;Protegida;16;Cuenca;Castilla-La Mancha;8
2016;3;;Protegida;16;Cuenca;Castilla-La Mancha;8
2017;3;;Protegida;16;Cuenca;Castilla-La Mancha;8
2025;4;;Protegida;16;Cuenca;Castilla-La Mancha;8
2026;2;;Protegida;16;Cuenca;Castilla-La Mancha;8
2016;3;;Protegida;20;Gipuzkoa;País Vasco;16
2016;3;;Protegida;1;Araba/Álava;País Vasco;16
2016;4;;Protegida;20;Gipuzkoa;País Vasco;16
2017;3;;Protegida;20;Gipuzkoa;País Vasco;16
2018;2;;Protegida;20;Gipuzkoa;País Vasco;16
2018;3;;Protegida;20;Gipuzkoa;País Vasco;16
2019;1;;Protegida;20;Gipuzkoa;País Vasco;16
2020;1;;Protegida;20;Gipuzkoa;País Vasco;16
2026;1;;Protegida;12;Castellón/Castelló;Comunitat Valenciana;10
2011;4;;Protegida;25;Lleida;Cataluña;9
2015;1;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2015;2;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2015;3;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2016;2;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2016;3;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2017;3;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2018;3;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2019;3;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2020;2;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2026;1;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2026;2;;Protegida;19;Guadalajara;Castilla-La Mancha;8
2011;4;;Protegida;22;Huesca;Aragón;2
2014;1;;Protegida;22;Huesca;Aragón;2
2014;2;;Protegida;22;Huesca;Aragón;2
2014;3;;Protegida;22;Huesca;Aragón;2
2014;4;;Protegida;22;Huesca;Aragón;2
2015;1;;Protegida;22;Huesca;Aragón;2
2015;3;;Protegida;22;Huesca;Aragón;2
2016;1;;Protegida;22;Huesca;Aragón;2
2016;2;;Protegida;22;Huesca;Aragón;2
2016;3;;Protegida;22;Huesca;Aragón;2
2017;1;;Protegida;22;Huesca;Aragón;2
2018;3;;Protegida;22;Huesca;Aragón;2
2019;2;;Protegida;22;Huesca;Aragón;2
2020;2;;Protegida;22;Huesca;Aragón;2
2021;3;;Protegida;22;Huesca;Aragón;2
2022;4;;Protegida;22;Huesca;Aragón;2
2023;3;;Protegida;22;Huesca;Aragón;2
2024;1;;Protegida;22;Huesca;Aragón;2
2024;2;;Protegida;22;Huesca;Aragón;2
2024;3;;Protegida;22;Huesca;Aragón;2
2026;1;;Protegida;22;Huesca;Aragón;2
2014;1;;Protegida;32;Ourense;Galicia;12
2014;2;;Protegida;32;Ourense;Galicia;12
2014;3;;Protegida;32;Ourense;Galicia;12
2014;4;;Protegida;32;Ourense;Galicia;12
